"2018-11-02 13:41:58 [main] INFO  c.t.VscAppointmentApplicationTests - Starting VscAppointmentApplicationTests on techsophy-Vostro-3900 with PID 16088 (started by sravani in /home/sravani/Documents/workspace-sts-3.9.5.RELEASE/vsc-appointment)
""2018-11-02 13:41:58 [main] DEBUG c.t.VscAppointmentApplicationTests - Running with Spring Boot v2.0.4.RELEASE, Spring v5.0.8.RELEASE
""2018-11-02 13:41:58 [main] INFO  c.t.VscAppointmentApplicationTests - No active profile set, falling back to default profiles: default
""2018-11-02 13:42:00 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
""2018-11-02 13:42:00 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$126402b8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 13:42:00 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$ab11caf2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 13:42:00 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 13:42:00 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@7942a854' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 13:42:00 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$cfe66da4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 13:42:00 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 13:42:01 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6242ae3b, org.springframework.security.web.context.SecurityContextPersistenceFilter@514de325, org.springframework.security.web.header.HeaderWriterFilter@69d23296, org.springframework.security.web.authentication.logout.LogoutFilter@47d023b7, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@77f68df, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@43a65cd8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@54402c04, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@65ddee5a, org.springframework.security.web.session.SessionManagementFilter@d1d8e1a, org.springframework.security.web.access.ExceptionTranslationFilter@38e7ed69, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7da39774]
""2018-11-02 13:42:02 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
